Site Location,Zipcode,DSNY Zone,DSNY District,Latitude,Longitude,point,BinType
"1000 Richmond Terrace, NYC Compost Demonstration Site",10310,SI,SI01,40.641787,-74.100434,POINT (-74.1004354748434 40.6417952389545),Leaf
W 12th St and 8th Ave,10014,MN,MN02,40.737472,-74.005095,POINT (-74.005096450296 40.7374802616065),Leaf
McGolrick Park (Greenpoint 11222),11222,BKN,BKN01,40.724493,-73.94375,POINT (-73.9437514294211 40.7245012610907),Leaf
25-30 Skillman Ave,11101,QW,QW02,40.7428222,-73.9437519,POINT (-73.9437533303711 40.7428304648487),Leaf
"31-20, 31-98 54th St, Woodside, NY 11377",11377,QW,QW01,40.756149,-73.907915,POINT (-73.9079164196464 40.7561572679866),Leaf
252-256 Saint Marks Avenue,11238,BKN,BKN08,40.6781463,-73.9676984,POINT (-73.967699833621 40.6781545507736),Leaf
"506 W 143rd St, New York, NY 10031",10031,MN,MN09,40.8242,-73.9498,POINT (-73.9498014369381 40.8242082801128),Leaf
69th Street and 35th Avenue,11377,QW,QW03,40.7503,-73.8966,POINT (-73.89660141627 40.7503082675758),Leaf
139th street and St. Anns avenue,10454,BX,BX01,40.8077719,-73.9172185,POINT (-73.9172199257479 40.8077801785189),Leaf
Seaman Ave and Isham St (N corner),10034,MN,MN12,40.870106,-73.920792,POINT (-73.9207934310067 40.8701142900172),Leaf
69th Street and 35th Avenue,11377,QW,QW03,40.7503,-73.8966,POINT (-73.89660141627 40.7503082675758),Leaf
118 E 119th Street,10035,MN,MN11,40.79667,-73.93172,POINT (-73.9317214301172 40.7966782757844),Leaf
Franklin Avenue & Eastern Parkway,11216,BKN,BKN08,40.670745,-73.957743,POINT (-73.9577444309458 40.6707532498556),Leaf
"45-55 Beach Channel Drive, Far Rockway NY 11691",11691,QE,QE14,40.59544139333655,-73.77705174423849,POINT (-73.7770531128644 40.5954496347714),Leaf
77th Street between Columbus Ave and Central Park West,10024,MN,MN07,40.780087,-73.974657,POINT (-73.9746584421051 40.7800952708519),Leaf
"1194 Prospect Ave, Brooklyn, NY 11218",11218,BKS,BKS07,40.654194,-73.976563,POINT (-73.9765644349676 40.6542022460453),Leaf
"26-25 97th Street East Elmhurst, NY 11369",11369,QW,QW03,40.76160188114641,-73.8721392201565,POINT (-73.8721406284587 40.7616101519812),Leaf
342 Pleasant Ave,10035,MN,MN11,40.79667,-73.93172,POINT (-73.9317214301172 40.7966782757844),Leaf
69th Street and 35th Avenue,11377,QW,QW03,40.75041,-73.89657,POINT (-73.8965714153558 40.7504182672548),Leaf
"546 E 12th St, New York, NY 10009",10009,MN,MN03,40.728139,-73.979204,POINT (-73.979205440702 40.728147260743),Leaf
1680 Pacific Street at the corner of Schenectady Avenue,11213,BKN,BKN08,40.67623,-73.93295,POINT (-73.9329514234362 40.6762382516406),Leaf
East 91st St & York Ave,10128,MN,MN08,40.779055,-73.944665,POINT (-73.9446664328272 40.7790632711406),Leaf
Broadway between 114th St. and 115th St.,10027,MN,MN09,40.807138,-73.96437,POINT (-73.9643714407506 40.807146276185),Leaf
"2 2nd Ave, Brooklyn, NY 11215",11215,BKS,BKS06,40.67541,-73.99128,POINT (-73.9912814417298 40.675418249171),Leaf
41-42 50th Street,11377,QW,QW02,40.7450095,-73.9147681,POINT (-73.9147695209356 40.7450177657232),Leaf
"546 E 12th St (by Ave B), New York, NY 10009",10009,MN,MN03,40.728145,-73.979303,POINT (-73.9793044413635 40.7281532606578),Leaf
69th Street and 35th Avenue,11377,QW,QW03,40.75041,-73.89657,POINT (-73.8965714153558 40.7504182672548),Leaf
25-30 Skillman Ave Long Island City 11101,11101,QW,QW02,40.7430814,-73.9434949,POINT (-73.9434963306088 40.7430896644284),Leaf
1680 Pacific Streeet,11213,BKN,BKN08,40.676672,-73.9330065,POINT (-73.9330079228005 40.6766802519929),Leaf
69th Street betweeen 35th and 37th Avenue,11377,QW,QW02,40.7503103,-73.8987502,POINT (-73.8987516166394 40.7503185676584),Leaf
699 Riverside Drive,10031,MN,MN09,40.823225,-73.95617,POINT (-73.9561714393801 40.8232332796605),Leaf
Greenwich St. & Duane St,10013,MN,MN01,40.717424,-74.010793,POINT (-74.0107944499684 40.7174322572405),Leaf
Park Place & Carlton Ave,11238,BKN,BKN08,40.67741,-73.972226,POINT (-73.9722274355667 40.677418250603),Leaf
